iter	Passed	Remaining
0	134	134300
1	135	67647
2	136	45340
3	137	34242
4	138	27601
5	139	23111
6	140	19907
7	141	17528
8	142	15660
9	143	14165
10	144	12994
11	146	12052
12	147	11216
13	148	10465
14	149	9810
15	150	9239
16	151	8742
17	152	8299
18	152	7897
19	153	7543
20	154	7223
21	155	6927
22	156	6662
23	158	6439
24	159	6221
25	160	6021
26	161	5825
27	162	5639
28	163	5470
29	164	5308
30	164	5156
31	165	5014
32	166	4885
33	167	4760
34	168	4642
35	169	4530
36	169	4421
37	170	4317
38	171	4231
39	173	4155
40	174	4079
41	175	4005
42	176	3933
43	177	3855
44	178	3784
45	179	3712
46	179	3645
47	180	3582
48	181	3521
49	182	3461
50	182	3405
51	183	3353
52	184	3301
53	185	3250
54	186	3202
55	187	3160
56	188	3118
57	189	3079
58	190	3040
59	191	3001
60	192	2962
61	193	2923
62	194	2887
63	194	2850
64	195	2816
65	196	2782
66	197	2750
67	198	2717
68	199	2686
69	199	2656
70	200	2626
71	201	2601
72	203	2581
73	204	2559
74	205	2536
75	206	2513
76	207	2490
77	208	2468
78	209	2446
79	211	2428
80	212	2408
81	213	2387
82	213	2360
83	214	2338
84	215	2316
85	215	2294
86	217	2281
87	218	2266
88	219	2249
89	220	2231
90	221	2214
91	222	2198
92	223	2182
93	224	2166
94	225	2150
95	226	2132
96	227	2116
97	228	2101
98	229	2085
99	229	2069
100	230	2053
101	231	2040
102	233	2029
103	234	2021
104	235	2009
105	236	1996
106	237	1985
107	238	1972
108	239	1958
109	240	1944
110	241	1932
111	242	1918
112	242	1905
113	243	1892
114	244	1880
115	245	1867
116	245	1854
117	246	1842
118	247	1834
119	248	1825
120	249	1815
121	250	1803
122	251	1793
123	252	1783
124	253	1773
125	254	1763
126	254	1752
127	255	1742
128	256	1731
129	257	1721
130	257	1711
131	258	1700
132	259	1691
133	260	1681
134	260	1671
135	262	1665
136	263	1658
137	264	1651
138	265	1643
139	266	1636
140	267	1628
141	267	1617
142	268	1610
143	269	1603
144	270	1595
145	271	1587
146	272	1579
147	273	1571
148	273	1563
149	274	1555
150	275	1548
151	276	1539
152	276	1532
153	278	1529
154	279	1524
155	280	1520
156	282	1514
157	283	1511
158	284	1505
159	285	1499
160	286	1491
161	286	1484
162	287	1477
163	288	1471
164	289	1464
165	290	1458
166	291	1451
167	292	1447
168	293	1444
169	295	1440
170	296	1436
171	297	1431
172	298	1426
173	299	1420
174	299	1413
175	300	1407
176	301	1402
177	302	1396
178	303	1390
179	303	1384
180	304	1378
181	305	1372
182	305	1365
183	307	1362
184	308	1359
185	309	1355
186	310	1351
187	312	1348
188	313	1345
189	314	1340
190	315	1335
191	316	1330
192	317	1325
193	317	1320
194	318	1315
195	319	1310
196	320	1305
197	321	1300
198	322	1297
199	323	1293
200	324	1289
201	325	1285
202	326	1282
203	327	1278
204	328	1273
205	329	1268
206	330	1264
207	330	1260
208	331	1255
209	332	1251
210	333	1246
211	334	1242
212	335	1238
213	336	1234
214	337	1230
215	338	1228
216	339	1225
217	340	1222
218	341	1217
219	342	1213
220	343	1209
221	344	1205
222	344	1201
223	345	1197
224	346	1192
225	347	1189
226	348	1185
227	348	1181
228	349	1177
229	350	1172
230	351	1168
231	351	1164
232	352	1161
233	354	1159
234	355	1157
235	356	1154
236	357	1151
237	358	1148
238	359	1145
239	360	1141
240	361	1137
241	362	1133
242	362	1130
243	363	1126
244	364	1122
245	365	1119
246	365	1115
247	366	1111
248	367	1107
249	368	1106
250	370	1104
251	371	1101
252	372	1098
253	372	1094
254	373	1091
255	374	1088
256	375	1085
257	376	1081
258	377	1078
259	377	1075
260	378	1072
261	379	1069
262	380	1065
263	381	1062
264	381	1059
265	382	1056
266	385	1058
267	386	1055
268	387	1052
269	388	1049
270	389	1046
271	389	1043
272	390	1040
273	391	1037
274	392	1034
275	393	1031
276	394	1028
277	394	1025
278	395	1022
279	396	1019
280	397	1016
281	398	1014
282	399	1012
283	400	1010
284	401	1008
285	403	1006
286	404	1003
287	404	1001
288	405	998
289	406	995
290	407	993
291	408	990
292	409	987
293	410	985
294	411	982
295	412	980
296	413	977
297	414	976
298	415	974
299	416	972
300	417	969
301	418	966
302	419	963
303	419	961
304	420	958
305	421	955
306	422	952
307	422	950
308	423	947
309	424	944
310	424	941
311	425	938
312	426	936
313	427	933
314	428	931
315	430	931
316	431	929
317	432	927
318	433	925
319	434	922
320	434	919
321	435	917
322	436	915
323	437	913
324	438	910
325	439	908
326	440	906
327	441	903
328	441	901
329	442	898
330	443	896
331	444	894
332	445	892
333	446	890
334	447	888
335	448	886
336	449	883
337	450	881
338	451	879
339	451	877
340	452	874
341	453	872
342	454	870
343	455	867
344	455	865
345	456	863
346	457	860
347	458	858
348	458	856
349	460	854
350	461	853
351	462	851
352	463	848
353	463	846
354	464	844
355	465	841
356	466	839
357	466	837
358	467	835
359	468	833
360	469	831
361	470	828
362	470	826
363	471	824
364	472	822
365	473	820
366	474	819
367	475	817
368	477	816
369	478	814
370	479	813
371	481	812
372	482	810
373	483	808
374	484	806
375	484	804
376	485	802
377	486	800
378	487	798
379	489	798
380	491	797
381	492	796
382	493	795
383	495	794
384	496	792
385	496	790
386	497	788
387	498	786
388	499	784
389	500	783
390	501	781
391	502	779
392	503	777
393	504	776
394	505	774
395	506	772
396	507	771
397	508	769
398	509	767
399	510	765
400	511	763
401	511	761
402	512	759
403	513	757
404	514	755
405	515	754
406	516	752
407	517	750
408	517	748
409	519	746
410	520	745
411	521	744
412	522	742
413	523	741
414	524	739
415	525	738
416	526	736
417	527	735
418	528	733
419	529	731
420	530	729
421	531	727
422	531	725
423	532	723
424	533	722
425	535	721
426	536	720
427	537	718
428	538	716
429	539	714
430	540	713
431	540	711
432	541	709
433	542	707
434	543	705
435	544	703
436	545	702
437	546	700
